Date,Energie_kWh
2018-06-16 23:00:00,160.86
2018-06-16 23:15:00,160.16
2018-06-16 23:30:00,164.36
2018-06-16 23:45:00,164.36
2018-06-17 00:00:00,164.64
2018-06-17 00:15:00,166.32
2018-06-17 00:30:00,160.72
2018-06-17 00:45:00,161.28
2018-06-17 01:00:00,163.38
2018-06-17 01:15:00,166.04
2018-06-17 01:30:00,168.42
2018-06-17 01:45:00,161.7
2018-06-17 02:00:00,161.98
2018-06-17 02:15:00,161.14
2018-06-17 02:30:00,159.74
2018-06-17 02:45:00,158.76
2018-06-17 03:00:00,126.28
2018-06-17 03:15:00,122.64
2018-06-17 03:30:00,160.72
2018-06-17 03:45:00,118.58
2018-06-17 04:00:00,114.38
2018-06-17 04:15:00,160.72
2018-06-17 04:30:00,111.3
2018-06-17 04:45:00,113.96
2018-06-17 05:00:00,111.16
2018-06-17 05:15:00,160.72
2018-06-17 05:30:00,111.16
2018-06-17 05:45:00,115.64
2018-06-17 06:00:00,124.88
2018-06-17 06:15:00,134.68
2018-06-17 06:30:00,136.22
2018-06-17 06:45:00,138.04
2018-06-17 07:00:00,137.76
2018-06-17 07:15:00,125.3
2018-06-17 07:30:00,133.0
2018-06-17 07:45:00,136.78
2018-06-17 08:00:00,140.56
2018-06-17 08:15:00,158.2
2018-06-17 08:30:00,152.88
2018-06-17 08:45:00,155.54
2018-06-17 09:00:00,156.52
2018-06-17 09:15:00,158.76
2018-06-17 09:30:00,150.92
2018-06-17 09:45:00,149.66
2018-06-17 10:00:00,152.04
2018-06-17 10:15:00,150.92
2018-06-17 10:30:00,151.2
2018-06-17 10:45:00,156.38
2018-06-17 11:00:00,130.48
2018-06-17 11:15:00,128.24
2018-06-17 11:30:00,130.2
2018-06-17 11:45:00,114.66
2018-06-17 12:00:00,117.32
2018-06-17 12:15:00,120.26
2018-06-17 12:30:00,125.58
2018-06-17 12:45:00,129.92
2018-06-17 13:00:00,134.82
2018-06-17 13:15:00,143.5
2018-06-17 13:30:00,137.9
2018-06-17 13:45:00,141.54
2018-06-17 14:00:00,139.72
2018-06-17 14:15:00,137.2
2018-06-17 14:30:00,137.06
2018-06-17 14:45:00,138.74
2018-06-17 15:00:00,161.28
2018-06-17 15:15:00,179.2
2018-06-17 15:30:00,168.14
2018-06-17 15:45:00,178.22
2018-06-17 16:00:00,175.28
2018-06-17 16:15:00,175.28
2018-06-17 16:30:00,164.36
2018-06-17 16:45:00,165.34
2018-06-17 17:00:00,163.1
2018-06-17 17:15:00,164.08
2018-06-17 17:30:00,163.24
2018-06-17 17:45:00,164.5
2018-06-17 18:00:00,160.58
2018-06-17 18:15:00,164.78
2018-06-17 18:30:00,156.94
2018-06-17 18:45:00,159.46
2018-06-17 19:00:00,154.0
2018-06-17 19:15:00,158.48
2018-06-17 19:30:00,155.12
2018-06-17 19:45:00,155.82
2018-06-17 20:00:00,153.44
2018-06-17 20:15:00,157.08
2018-06-17 20:30:00,158.06
2018-06-17 20:45:00,157.36
2018-06-17 21:00:00,156.38
2018-06-17 21:15:00,158.34
2018-06-17 21:30:00,160.44
2018-06-17 21:45:00,158.76
2018-06-17 22:00:00,162.26
2018-06-17 22:15:00,165.34
2018-06-17 22:30:00,157.78
2018-06-17 22:45:00,155.26
2018-06-17 23:00:00,151.76
2018-06-17 23:15:00,153.58
2018-06-17 23:30:00,151.62
2018-06-17 23:45:00,152.88
2018-06-18 00:00:00,156.1
2018-06-18 00:15:00,154.98
2018-06-18 00:30:00,151.9
2018-06-18 00:45:00,151.76
2018-06-18 01:00:00,150.36
2018-06-18 01:15:00,152.18
2018-06-18 01:30:00,153.58
2018-06-18 01:45:00,151.34
2018-06-18 02:00:00,152.32
2018-06-18 02:15:00,153.86
2018-06-18 02:30:00,153.58
2018-06-18 02:45:00,153.72
2018-06-18 03:00:00,152.32
2018-06-18 03:15:00,153.44
2018-06-18 03:30:00,151.9
2018-06-18 03:45:00,152.74
2018-06-18 04:00:00,152.18
2018-06-18 04:15:00,151.9
2018-06-18 04:30:00,155.82
2018-06-18 04:45:00,162.54
2018-06-18 05:00:00,188.16
2018-06-18 05:15:00,151.9
2018-06-18 05:30:00,284.76
2018-06-18 05:45:00,250.04
2018-06-18 06:00:00,222.6
2018-06-18 06:15:00,243.18
2018-06-18 06:30:00,219.66
2018-06-18 06:45:00,210.14
2018-06-18 07:00:00,226.52
2018-06-18 07:15:00,237.3
2018-06-18 07:30:00,284.62
2018-06-18 07:45:00,249.48
2018-06-18 08:00:00,245.56
2018-06-18 08:15:00,304.08
2018-06-18 08:30:00,344.12
2018-06-18 08:45:00,291.76
2018-06-18 09:00:00,251.58
2018-06-18 09:15:00,224.14
2018-06-18 09:30:00,254.94
2018-06-18 09:45:00,351.54
2018-06-18 10:00:00,283.78
2018-06-18 10:15:00,308.28
2018-06-18 10:30:00,260.96
2018-06-18 10:45:00,245.7
2018-06-18 11:00:00,299.32
2018-06-18 11:15:00,265.16
2018-06-18 11:30:00,321.58
2018-06-18 11:45:00,348.6
2018-06-18 12:00:00,304.36
2018-06-18 12:15:00,318.92
2018-06-18 12:30:00,266.14
2018-06-18 12:45:00,328.44
2018-06-18 13:00:00,285.46
2018-06-18 13:15:00,316.68
2018-06-18 13:30:00,290.5
2018-06-18 13:45:00,302.26
2018-06-18 14:00:00,270.48
2018-06-18 14:15:00,296.52
2018-06-18 14:30:00,293.44
2018-06-18 14:45:00,356.16
2018-06-18 15:00:00,327.88
2018-06-18 15:15:00,310.8
2018-06-18 15:30:00,343.56
2018-06-18 15:45:00,259.14
2018-06-18 16:00:00,288.68
2018-06-18 16:15:00,264.32
2018-06-18 16:30:00,230.02
2018-06-18 16:45:00,221.76
2018-06-18 17:00:00,189.14
2018-06-18 17:15:00,192.64
2018-06-18 17:30:00,238.84
2018-06-18 17:45:00,265.58
2018-06-18 18:00:00,231.28
2018-06-18 18:15:00,224.56
2018-06-18 18:30:00,195.3
2018-06-18 18:45:00,216.86
2018-06-18 19:00:00,226.1
2018-06-18 19:15:00,227.92
2018-06-18 19:30:00,191.52
2018-06-18 19:45:00,181.02
2018-06-18 20:00:00,184.38
2018-06-18 20:15:00,183.82
2018-06-18 20:30:00,180.74
2018-06-18 20:45:00,174.44
2018-06-18 21:00:00,175.98
2018-06-18 21:15:00,176.96
2018-06-18 21:30:00,170.66
2018-06-18 21:45:00,169.54
2018-06-18 22:00:00,174.44
2018-06-18 22:15:00,172.2
2018-06-18 22:30:00,171.08
2018-06-18 22:45:00,171.08
2018-06-18 23:00:00,171.08
2018-06-18 23:15:00,169.82
2018-06-18 23:30:00,169.12
2018-06-18 23:45:00,168.42
2018-06-19 00:00:00,172.9
2018-06-19 00:15:00,168.98
2018-06-19 00:30:00,173.18
2018-06-19 00:45:00,169.26
2018-06-19 01:00:00,169.4
2018-06-19 01:15:00,169.68
2018-06-19 01:30:00,167.72
2018-06-19 01:45:00,169.82
2018-06-19 02:00:00,171.5
2018-06-19 02:15:00,176.54
2018-06-19 02:30:00,170.52
2018-06-19 02:45:00,168.98
2018-06-19 03:00:00,138.18
2018-06-19 03:15:00,135.1
2018-06-19 03:30:00,173.18
2018-06-19 03:45:00,131.32
2018-06-19 04:00:00,134.26
2018-06-19 04:15:00,173.18
2018-06-19 04:30:00,134.68
2018-06-19 04:45:00,149.1
2018-06-19 05:00:00,160.3
2018-06-19 05:15:00,173.18
2018-06-19 05:30:00,194.46
2018-06-19 05:45:00,167.72
2018-06-19 06:00:00,198.94
2018-06-19 06:15:00,268.94
2018-06-19 06:30:00,234.08
2018-06-19 06:45:00,242.48
2018-06-19 07:00:00,278.32
2018-06-19 07:15:00,274.54
2018-06-19 07:30:00,311.64
2018-06-19 07:45:00,229.04
2018-06-19 08:00:00,274.68
2018-06-19 08:15:00,260.4
2018-06-19 08:30:00,259.56
2018-06-19 08:45:00,270.76
2018-06-19 09:00:00,281.96
2018-06-19 09:15:00,249.48
2018-06-19 09:30:00,253.82
2018-06-19 09:45:00,290.36
2018-06-19 10:00:00,311.92
2018-06-19 10:15:00,292.46
2018-06-19 10:30:00,286.16
2018-06-19 10:45:00,283.64
2018-06-19 11:00:00,284.06
2018-06-19 11:15:00,280.7
2018-06-19 11:30:00,273.7
2018-06-19 11:45:00,245.7
2018-06-19 12:00:00,265.58
2018-06-19 12:15:00,268.94
2018-06-19 12:30:00,234.22
2018-06-19 12:45:00,241.64
2018-06-19 13:00:00,259.0
2018-06-19 13:15:00,199.64
2018-06-19 13:30:00,188.3
2018-06-19 13:45:00,141.54
2018-06-19 14:00:00,145.18
2018-06-19 14:15:00,149.52
2018-06-19 14:30:00,154.7
2018-06-19 14:45:00,228.9
2018-06-19 15:00:00,246.26
2018-06-19 15:15:00,246.4
2018-06-19 15:30:00,239.4
2018-06-19 15:45:00,269.92
2018-06-19 16:00:00,232.82
