Time,Power - Solarpanels - L1,Power - Solarpanels - L2,Power - Solarpanels - L3,Total solar production
1602374400000.00,,,,0
1602396000000.00,,,,0
1602417600000.00,,,,0
1602439200000.00,,,,0
1602460800000.00,,,,0
1602482400000.00,,,,0
1602504000000.00,,,,0
1602525600000.00,,,,0
1602547200000.00,,,,0
1602568800000.00,,,,0
1602590400000.00,,,,0
1602612000000.00,,,,0
1602633600000.00,,,,0
1602655200000.00,,,,0
1602676800000.00,,,,0
1602698400000.00,,,,0
1602720000000.00,,,,0
1602741600000.00,,,,0
1602763200000.00,-47,-35,-20,-102
1602784800000.00,-47,-35,-22,-104
1602806400000.00,-44,-34,-20,-98
1602828000000.00,14199,14126,13823,42148
1602849600000.00,-47,-35,-21,-103
1602871200000.00,-47,-35,-20,-102
1602892800000.00,-46,-35,-20,-101
1602914400000.00,13648,13599,13387,40634
1602936000000.00,-82,-40,-26,-148
1602957600000.00,-47,-35,-22,-104
1602979200000.00,-44,-35,-20,-99
1603000800000.00,10491,10502,10395,31388
1603022400000.00,-46,-36,-22,-104
1603044000000.00,-46,-35,-22,-103
1603065600000.00,-46,-35,-21,-102
1603087200000.00,9295,9246,9056,27597
1603108800000.00,-100,-33,26,-107
1603130400000.00,-46,-34,-21,-101
1603152000000.00,-46,-34,-21,-101
1603173600000.00,3979,3957,3889,11825
1603195200000.00,-46,-34,-22,-102
1603216800000.00,-46,-34,-22,-102
1603238400000.00,-45,-33,-21,-99
1603260000000.00,16873,16771,16457,50101
1603281600000.00,-46,-35,-21,-102
1603303200000.00,-47,-36,-21,-104
1603324800000.00,-47,-36,-21,-104
1603346400000.00,10904,10835,10612,32351
1603368000000.00,-46,-34,-22,-102
1603389600000.00,-46,-35,-21,-102
1603411200000.00,-45,-34,-21,-100
1603432800000.00,9368,9314,9144,27826
1603454400000.00,-46,-35,-22,-103
1603476000000.00,-46,-34,-22,-102
1603497600000.00,-71,-28,35,-64
1603519200000.00,11342,11280,11074,33696
1603540800000.00,-48,-35,-21,-104
1603562400000.00,-46,-34,-21,-101
1603584000000.00,9,-36,-68,-95
