_start,_stop,_time,G_A_100-200_Vermogen_W,IoT_lokaal_Vermogen_W,PV_IoT_Vermogen_W,G_o_total_Vermogen_kW,G_OB_VermogenL1_kW,G_OB_VermogenL2_kW,G_OB_VermogenL3_kW,Lemcko_Afname_kW,Lemcko_Pvproductie_kW,De_Reactor_Afname_W,De_Reactor_Productie_W,Penta_Afname_kW,Penta_Pvproductie_kW,Penta_WKKproductie_kW,AD_IDC_afname_W,AD_IDC_Pvproductie_W,GebA_300-500
units,units,units,W,W,W,kW,kW,kW,kW,kW,kW,W,W,kW,kW,kW,W,W,kW
2021-08-31T22:00:00Z,2021-09-30T22:00:00Z,2021-08-31T22:15:00Z,,-41.82777778,-16,70.65039193,0.140068027,1.102517007,0.06,1.09452962,1.09452962,730.2444444,-4,,,,18168.03111,48.65222222,31.3054603
2021-08-31T22:00:00Z,2021-09-30T22:00:00Z,2021-08-31T22:30:00Z,,-41.94777778,-16,71.69239418,0.143945578,1.215821918,0.059931507,1.003226751,1.003226751,732.6222222,-4,,,,18240.26667,48.57333333,32.26261608
2021-08-31T22:00:00Z,2021-09-30T22:00:00Z,2021-08-31T22:45:00Z,,-41.40444444,-16,68.27987287,0.08,0.908435374,0.06,1.055489123,1.055489123,730.1533333,-4,,,,17770.85333,48.38333333,29.9733397
2021-08-31T22:00:00Z,2021-09-30T22:00:00Z,2021-08-31T23:00:00Z,,-41.56555556,-16,67.35728595,0.079931973,1.230680272,0.059931973,1.083491167,1.083491167,733.3088889,-4,,,,17457.93667,48.24777778,29.58416183
2021-08-31T22:00:00Z,2021-09-30T22:00:00Z,2021-08-31T23:15:00Z,,-40.89333333,-16,68.99842908,0.079795918,1.399589041,0.059589041,1.003719067,1.003719067,789.9311111,-4,,,,17290.32778,47.97555556,31.39994063
2021-08-31T22:00:00Z,2021-09-30T22:00:00Z,2021-08-31T23:30:00Z,,-41.11888889,-16,69.08483254,0.079931507,1.178843537,0.06,1.052662558,1.052662558,777.2688889,-4,,,,17330.60778,48.32,31.80380843
2021-08-31T22:00:00Z,2021-09-30T22:00:00Z,2021-08-31T23:45:00Z,,-41.57333333,-16,68.22021111,0.079931973,1.031292517,0.059931973,1.05307939,1.05307939,730.5866667,-4,,,,17951.11222,48.40777778,29.61785357
2021-08-31T22:00:00Z,2021-09-30T22:00:00Z,2021-09-01T00:00:00Z,,-41.51444444,-16,67.87596686,0.08,1.044353741,0.059863946,1.03580269,1.03580269,728.0488889,-4,,,,19367.67111,48.43222222,30.4007007
2021-08-31T22:00:00Z,2021-09-30T22:00:00Z,2021-09-01T00:15:00Z,,-41.61111111,-16,68.90479644,0.08,0.938231293,0.059931973,1.052679335,1.052679335,730.9211111,-4,,,,18345.43,48.67,32.01447971
2021-08-31T22:00:00Z,2021-09-30T22:00:00Z,2021-09-01T00:30:00Z,,-41.87777778,-16,68.05161384,0.08,0.940680272,0.059931507,1.055972506,1.055972506,727.6844444,-4,,,,17968.44778,48.65,30.74642199
2021-08-31T22:00:00Z,2021-09-30T22:00:00Z,2021-09-01T00:45:00Z,,-41.90222222,-16,66.53562169,0.08,1.322260274,0.059795918,1.021028403,1.021028403,732.6811111,-4,,,,18088.92556,48.40888889,29.05190149
2021-08-31T22:00:00Z,2021-09-30T22:00:00Z,2021-09-01T01:00:00Z,,-41.95333333,-16,69.48515827,0.08,0.955782313,0.06,1.071924934,1.071924934,731.8188889,-4,,,,18403.19444,48.68,31.81830597
2021-08-31T22:00:00Z,2021-09-30T22:00:00Z,2021-09-01T01:15:00Z,,-41.85888889,-16,69.85873398,0.08,1.257959184,0.059931507,1.056924015,1.056924015,802.1144444,-4,,,,17858.82333,48.47666667,31.6987692
